Path,GVKey,HH Name,Mergent Name,Year,Doctype Confirmed,Name Confirmed,Year Confirmed,Index in missing.csv
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\334345_1.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2001,2001 ANNUAL REPORT,"ADC Telecommunications, Inc.",2001,14
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\304253_2.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2000,None,None,None,13
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\276183_3.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1999,None,None,None,12
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\238514_4.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1998,None,None,None,11
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\216222_5.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1997,None,None,None,10
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\206112_6.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,None,None,None,9
./folders\1013_ADC-TELECOMMUNICATIONS-INC_1996_2001_1\578549_7.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,1996,None,None,None,NA
./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\388898_8.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2003,Annual report,"ADC Telecommunications, Inc.",2003,16
./folders\1013_ADC-TELECOMMUNICATIONS-INC_2002_2010_1_altreport\365447_9.pdf,1013,ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc,2002,Annual report,"ADC Telecommunications, Inc.",2002,15
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\471423_1.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2005,2005 Annual Report,"American Airlines, Inc.",None,41
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\338260_2.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2001,2001 ANNUAL REPORT,"American Airlines, Inc.",2001,37
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\310984_3.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,2000,None,None,None,36
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\277640_4.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1999,None,None,None,35
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\251839_5.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1998,None,None,None,34
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\221386_6.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1997,None,None,None,33
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\200784_7.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1996,None,"AMERICAN AIRLINES, INC.",1996,32
./folders\1045_AMERICAN-AIRLINES-GROUP-INC_1995_2005_1\198195_8.pdf,1045,AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1995,None,"AMERICAN AIRLINES, INC .",None,NA
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2728766_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,annual report may be,Abbott Laboratories,2021,72
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2728750_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,Abbott Laboratories,2020,71
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2453818_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,Abbott Laboratories,2019,70
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2453817_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,Abbott Laboratories,2018,69
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2154790_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,Abbott Laboratories,2017,68
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2012280_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,FINANCIAL REPORTS,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2048041_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,None,Abbott Laboratories,2016,67
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\2096209_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,2016 ANNUAL REPORT,Abbott Laboratories to,2016,NA
./folders\1078_ABBOTT-LABORATORIES_2015_2021_1\1634278_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,Annual Report 2015-16,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\1561800_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,2015 Annual Report,"is Abbott Laboratories, USA.",None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\1357454_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,ANNUAL REPORT 2014-15,"Abbott Laboratories, usa.",None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\841666_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,Financial Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\1491380_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,2014 ANNUAL REPORT,Abbott Laboratories to,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\821433_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,ANNUAL REPORT 2013-14,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\805459_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,Financial Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\1491379_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,Financial Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\762194_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,2012 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2012_2015_2\1713953_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,ANNUAL REPORT 2012,"of Abbott Laboratories, USA,",None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\685684_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,Financial Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\686872_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,Annual Report 2011,"Abbott Laboratories SA, USA",None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\596352_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\1491377_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,Annual Report 2011,Abbott Laboratories.,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\647167_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,2010 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\655823_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,Annual Report 2010,"Abbott Laboratories, USA",None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\659705_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,Annual Report 2010,Abbott Laboratories.,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\623730_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,2009 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2008_2011_3\634633_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,Annual Report.,"Abbott Laboratories, USA].",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\559969_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,Annual Report.,"Abbott Laboratories, USA].",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\530825_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,2007 Annual Report,"© 2008, Abbott Laboratories",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\543799_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,Annual Report.,Abbott Laboratories.,None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\499050_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\501416_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,Annual Report.,"Abbott Laboratories, USA].",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\456099_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,2005 Annual Report,"© 2006, Abbott Laboratories",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\634634_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,Analysis Report,"– Abbott Laboratories, SA",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\423985_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,2004 Annual Report,"© 2005, Abbott Laboratories",None,NA
./folders\1078_ABBOTT-LABORATORIES_2004_2008_4\423985_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,2004 Annual Report,"© 2005, Abbott Laboratories",None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\406864_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,2003 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\406864_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,2003 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\469021_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,Annual Report.,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\365444_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,2002 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\838084_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\365444_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,2002 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\1016581_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,of this Annual Report.,Abbott Laboratories Intl Co,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\333950_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_2001_2003_5\826659_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,2001 Annual Report,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\322695_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\305161_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\838083_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\349199_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\275125_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\826658_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,1999 ANNUAL REPOR,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\290701_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\265167_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1998_2001_6\242181_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\269395_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\217988_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\579124_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\826656_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\262173_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\578557_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\834467_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\458668_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,19.91 Ann ua l Report,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1995_1998_7\833878_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\210033_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\500257_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\577564_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\458663_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,Annual Meet,ABBOTT LABORA T OR,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\500256_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\458661_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,1994 ANNUAL REPORT,ABBOTT L AB OR A TORIES,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\500255_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\458659_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,1993 ANNUAL REP O RT,Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1991_1995_8\500254_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\458658_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,None,ABBO TT L ABORA TO RI ES,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\500253_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\500252_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\458654_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,annual Report,Abbott Laboratories common,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\500251_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\458653_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,Annual Report are shown,G 1990 Abbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\500250_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1986_1991_9\458649_9.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2016,Annual R epor t .,bbott Laboratories,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\458643_1.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2021,annual report .,to Abbott Laboratories .,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500248_2.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2020,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500247_3.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2019,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500246_4.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2018,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500245_5.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500244_6.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (India) Ltd,2017,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500243_7.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories,2016,None,None,None,NA
./folders\1078_ABBOTT-LABORATORIES_1979_1986_10\500242_8.pdf,1078,ABBOTT LABORATORIES,Abbott Laboratories (Pakistan) Ltd.,2016,None,None,None,NA
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\481337_1.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2005,None,Ace Hardware Corporation:,None,NA
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\421588_2.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2004,None,None,None,NA
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\417167_3.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2004,2003 ANNUAL REPORT,ACE HARDWARE CORPORATION,None,NA
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\417168_4.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2002,None,None,None,79
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\345727_5.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2001,None,None,None,78
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\319532_6.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2000,None,None,None,77
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\286866_7.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,2000,None,None,None,NA
./folders\1107_ACE-HARDWARE-CORP_1999_2005_1\257040_8.pdf,1107,ACE HARDWARE CORP,Ace Hardware Corp.,1999,None,None,None,76
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\2154845_1.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2017,2017 Annual Report,"Adams Resources & Energy, Inc.",2017,101
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\621226_2.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2009,None,"Resources & Energy, Inc.",2009,93
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\574246_3.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2008,None,"Adams Resources & Energy, Inc.",2008,92
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\579109_4.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2008,None,None,None,NA
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\579351_5.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2006,None,None,None,90
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\423300_6.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2005,2005 ANNUA L REPORT,"Resources & Energy, Inc.",2005,89
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\430655_7.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2004,2004 ANNUAL REPORT,"Resources & Energy, Inc .",2004,88
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\584013_8.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2004,None,None,None,NA
./folders\1121_ADAMS-RESOURCES-&-ENERGY-INC_2002_2017_1\396450_9.pdf,1121,ADAMS RESOURCES & ENERGY INC,"Adams Resources & Energy, Inc.",2003,None,None,None,87
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2231870_1.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2018,None,"Advanced Micro Devices, Inc.",2018,119
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2111040_2.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,None,"ADVANCED MICRO DEVICES, INC.",2017,118
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2201576_3.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,None,"Advanced Micro Devices, Inc.",2017,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\1752976_4.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,None,"Advanced Micro Devices, Inc.",2016,117
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2201577_5.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,None,"Advanced Micro Devices, Inc.",2016,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2026319_6.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"ADVANCED MICRO DEVICES, INC.",2015,116
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\2201578_7.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"ADVANCED MICRO DEVICES, INC.",2015,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\1002477_8.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2014,None,"Advanced Micro Devices, Inc.",2014,115
./folders\1161_ADVANCED-MICRO-DEVICES_2012_2018_1\1002511_9.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2013,None,"ADVANCED MICRO DEVICES, INC.",2013,114
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002510_1.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2018,None,"Advanced Micro Devices, Inc.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002500_2.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,None,"Advanced Micro Devices, Inc.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002515_3.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,None,"Advanced Micro Devices, Inc.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002514_4.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002513_5.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002517_6.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002501_7.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002508_8.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2014,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_2002_2011_2\1002516_9.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2013,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\826665_1.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2018,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\826664_2.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,None,"Advanced Micro Devices, Inc.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\334296_3.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2017,A n n u a l  R e p o r t,"Advanced Micro Devices, Inc.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\1002549_4.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,A n n u a l  R e p o r t,None,None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\304872_5.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2016,None,None,None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\1002555_6.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"ADVANCED MICRO DEVICES, INC.",None,NA
./folders\1161_ADVANCED-MICRO-DEVICES_1998_2002_3\826663_7.pdf,1161,ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,2015,None,"Advanced Micro Devices, Inc.",None,NA
